TIME/GEO;DE;GR
2000Q4;59,7;103,4
2001Q1;58,9;103,4
2001Q2;58,3;102,6
2001Q3;58,7;101,3
2001Q4;58,8;103,7
2002Q1;59,8;101,9
2002Q2;59,7;101,2
2002Q3;60,2;100,5
2002Q4;60,4;101,7
2003Q1;61,9;99,6
2003Q2;62,5;99,5
2003Q3;63,3;97,3
2003Q4;63,9;97,4
2004Q1;65,6;99,4
2004Q2;65,5;102,7
2004Q3;66,0;101,7
2004Q4;65,8;98,9
2005Q1;67,0;98,7
2005Q2;67,3;102,1
2005Q3;67,9;102,5
2005Q4;68,0;109,0
2006Q1;68,2;107,5
2006Q2;68,3;107,3
2006Q3;68,4;106,2
2006Q4;67,6;106,4
2007Q1;66,9;107,7
2007Q2;66,9;106,3
2007Q3;65,2;104,7
2007Q4;64,9;105,4
2008Q1;65,1;106,2
2008Q2;65,9;106,9
2008Q3;65,4;108,2
2008Q4;66,3;110,7
2009Q1;68,4;118,8
2009Q2;72,1;123,1
2009Q3;73,0;126,0
2009Q4;73,5;127,5
2010Q1;73,7;131,0
2010Q2;74,5;133,3
2010Q3;74,7;137,8
2010Q4;83,2;142,7
2011Q1;82,5;149,6
