TIME/GEO;DE;GR
1992Q4;7,38;24,33
1993Q1;6,92;24,50
1993Q2;6,77;23,88
1993Q3;6,41;22,46
1993Q4;5,94;22,25
1994Q1;6,07;21,21
1994Q2;6,73;20,38
1994Q3;7,17;21,38
1994Q4;7,50;19,83
1995Q1;7,43;18,58
1995Q2;6,91;17,61
1995Q3;6,73;16,21
1995Q4;6,33;15,44
1996Q1;6,18;15,17
1996Q2;6,46;14,87
1996Q3;6,34;14,43
1996Q4;5,89;13,26
1997Q1;5,69;10,87
1997Q2;5,78;9,13
1997Q3;5,60;9,49
1997Q4;5,49;10,18
1998Q1;5,00;10,45
1998Q2;4,89;7,90
1998Q3;4,39;7,83
1998Q4;4,01;7,76
1999Q1;3,86;6,08
1999Q2;4,07;5,87
1999Q3;4,87;6,56
1999Q4;5,16;6,68
2000Q1;5,46;6,44
2000Q2;5,26;6,11
2000Q3;5,25;6,06
2000Q4;5,08;5,79
2001Q1;4,75;5,33
2001Q2;4,96;5,47
2001Q3;4,88;5,38
2001Q4;4,60;5,03
2002Q1;4,98;5,35
2002Q2;5,11;5,47
2002Q3;4,61;4,96
2002Q4;4,42;4,71
2003Q1;4,04;4,31
2003Q2;3,86;4,07
2003Q3;4,09;4,24
2003Q4;4,29;4,45
2004Q1;4,06;4,30
2004Q2;4,22;4,46
2004Q3;4,11;4,31
2004Q4;3,75;3,95
2005Q1;3,60;3,77
2005Q2;3,30;3,60
2005Q3;3,17;3,41
2005Q4;3,34;3,56
2006Q1;3,48;3,77
2006Q2;3,94;4,28
2006Q3;3,88;4,19
2006Q4;3,76;4,03
2007Q1;4,00;4,26
2007Q2;4,33;4,57
2007Q3;4,34;4,66
2007Q4;4,19;4,51
2008Q1;3,93;4,39
2008Q2;4,25;4,82
2008Q3;4,26;4,97
2008Q4;3,50;5,03
2009Q1;3,07;5,72
2009Q2;3,32;5,35
2009Q3;3,30;4,66
2009Q4;3,19;4,97
2010Q1;3,18;6,24
2010Q2;2,78;8,30
2010Q3;2,42;10,79
2010Q4;2,60;11,03
2011Q1;3,14;11,86
2011Q2;3,10;15,50
