TIME/GEO;DE;GR
1998Q2;:;10,7
1998Q3;:;10,7
1998Q4;:;11,3
1999Q1;:;12,0
1999Q2;:;11,7
1999Q3;:;11,6
1999Q4;:;12,5
2000Q1;:;12,2
2000Q2;:;11,1
2000Q3;:;10,8
2000Q4;:;10,8
2001Q1;:;11,1
2001Q2;:;10,3
2001Q3;:;10,1
2001Q4;:;11,1
2002Q1;:;11,4
2002Q2;:;9,9
2002Q3;:;9,8
2002Q4;:;10,2
2003Q1;:;10,4
2003Q2;:;9,4
2003Q3;:;9,3
2003Q4;:;9,9
2004Q1;:;11,4
2004Q2;:;10,2
2004Q3;:;10,1
2004Q4;:;10,4
2005Q1;11,5;10,4
2005Q2;11,3;9,6
2005Q3;11,1;9,7
2005Q4;10,8;9,7
2006Q1;11,3;9,7
2006Q2;10,2;8,8
2006Q3;9,8;8,3
2006Q4;9,8;8,8
2007Q1;9,5;9,1
2007Q2;8,6;8,1
2007Q3;8,4;7,9
2007Q4;8,2;8,1
2008Q1;8,2;8,3
2008Q2;7,8;7,2
2008Q3;7,1;7,2
2008Q4;7,0;8,0
2009Q1;8,1;9,4
2009Q2;7,8;8,9
2009Q3;7,9;9,3
2009Q4;7,3;10,3
2010Q1;8,0;11,7
2010Q2;7,0;11,9
2010Q3;6,7;12,4
2010Q4;6,5;14,2
2011Q1;6,7;15,9
2011Q2;5,9;16,4
